time,I,pol,r,ar,cc,V_tot,kind,net_type
4,8.07,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
5,14.5,0.9,0.1,93,0.057,714,mean,dynamic
5,11.17,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
6,17.16,0.9,0.1,93,0.057,714,mean,dynamic
6,13.92,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
7,18.88,0.9,0.1,93,0.057,714,mean,dynamic
7,15.17,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
8,21.09,0.9,0.1,93,0.057,714,mean,dynamic
8,18.67,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
9,23.44,0.9,0.1,93,0.057,714,mean,dynamic
9,21.36,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
10,25.06,0.9,0.1,93,0.057,714,mean,dynamic
10,22.25,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
11,27.0,0.9,0.1,93,0.057,714,mean,dynamic
11,24.28,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
12,27.0,0.9,0.1,93,0.057,714,mean,dynamic
12,23.76,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
13,26.62,0.9,0.1,93,0.057,714,mean,dynamic
13,23.03,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
14,25.78,0.9,0.1,93,0.057,714,mean,dynamic
14,22.19,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
15,25.47,0.9,0.1,93,0.057,714,mean,dynamic
15,22.22,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
16,25.12,0.9,0.1,93,0.057,714,mean,dynamic
16,21.37,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
17,23.44,0.9,0.1,93,0.057,714,mean,dynamic
17,18.48,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
18,22.28,0.9,0.1,93,0.057,714,mean,dynamic
18,16.95,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
19,21.81,0.9,0.1,93,0.057,714,mean,dynamic
19,15.42,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
20,20.19,0.9,0.1,93,0.057,714,mean,dynamic
20,14.2,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
21,18.94,0.9,0.1,93,0.057,714,mean,dynamic
21,13.35,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
22,18.47,0.9,0.1,93,0.057,714,mean,dynamic
22,12.89,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
0,5.0,0.1,0.2,20,0.039,954,mean,static
0,0.0,0.1,0.2,12,0.003,33.598488037968316,std,static
1,5.94,0.1,0.2,20,0.039,954,mean,static
1,1.12,0.1,0.2,12,0.003,33.598488037968316,std,static
2,6.81,0.1,0.2,20,0.039,954,mean,static
2,2.53,0.1,0.2,12,0.003,33.598488037968316,std,static
3,7.44,0.1,0.2,20,0.039,954,mean,static
3,3.05,0.1,0.2,12,0.003,33.598488037968316,std,static
4,7.97,0.1,0.2,20,0.039,954,mean,static
4,4.2,0.1,0.2,12,0.003,33.598488037968316,std,static
5,8.72,0.1,0.2,20,0.039,954,mean,static
5,5.53,0.1,0.2,12,0.003,33.598488037968316,std,static
6,8.28,0.1,0.2,20,0.039,954,mean,static
6,5.29,0.1,0.2,12,0.003,33.598488037968316,std,static
7,8.31,0.1,0.2,20,0.039,954,mean,static
7,5.61,0.1,0.2,12,0.003,33.598488037968316,std,static
8,8.09,0.1,0.2,20,0.039,954,mean,static
8,5.64,0.1,0.2,12,0.003,33.598488037968316,std,static
9,7.81,0.1,0.2,20,0.039,954,mean,static
9,5.72,0.1,0.2,12,0.003,33.598488037968316,std,static
10,7.62,0.1,0.2,20,0.039,954,mean,static
10,5.52,0.1,0.2,12,0.003,33.598488037968316,std,static
11,6.72,0.1,0.2,20,0.039,954,mean,static
11,5.08,0.1,0.2,12,0.003,33.598488037968316,std,static
0,5.0,0.1,0.2,22,0.047,936,mean,dynamic
0,0.0,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
1,5.34,0.1,0.2,22,0.047,936,mean,dynamic
1,1.24,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
2,6.28,0.1,0.2,22,0.047,936,mean,dynamic
2,1.89,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
3,6.88,0.1,0.2,22,0.047,936,mean,dynamic
3,2.5,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
4,7.47,0.1,0.2,22,0.047,936,mean,dynamic
4,3.25,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
5,8.34,0.1,0.2,22,0.047,936,mean,dynamic
5,4.1,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
6,9.06,0.1,0.2,22,0.047,936,mean,dynamic
6,4.85,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
7,9.28,0.1,0.2,22,0.047,936,mean,dynamic
7,5.19,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
8,9.19,0.1,0.2,22,0.047,936,mean,dynamic
8,5.05,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
9,9.78,0.1,0.2,22,0.047,936,mean,dynamic
9,5.61,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
10,9.34,0.1,0.2,22,0.047,936,mean,dynamic
10,5.73,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
11,8.97,0.1,0.2,22,0.047,936,mean,dynamic
11,5.39,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
12,8.38,0.1,0.2,22,0.047,936,mean,dynamic
12,5.21,0.1,0.2,12,0.005,23.341700043859273,std,dynamic
0,5.0,0.2,0.2,21,0.04,929,mean,static
0,0.0,0.2,0.2,16,0.002,64.96826148204984,std,static
1,5.47,0.2,0.2,21,0.04,929,mean,static
