time,I,pol,r,ar,cc,kind,net_type
39,4.25,0.2,0.1,27,0.002,std,static
40,16.5,0.2,0.1,728,0.049,mean,static
40,4.29,0.2,0.1,27,0.002,std,static
41,14.84,0.2,0.1,728,0.049,mean,static
41,3.95,0.2,0.1,27,0.002,std,static
42,13.28,0.2,0.1,728,0.049,mean,static
42,3.66,0.2,0.1,27,0.002,std,static
43,12.28,0.2,0.1,728,0.049,mean,static
43,3.63,0.2,0.1,27,0.002,std,static
44,10.84,0.2,0.1,728,0.049,mean,static
44,3.21,0.2,0.1,27,0.002,std,static
45,9.72,0.2,0.1,728,0.049,mean,static
45,3.33,0.2,0.1,27,0.002,std,static
46,8.81,0.2,0.1,728,0.049,mean,static
46,3.19,0.2,0.1,27,0.002,std,static
47,7.69,0.2,0.1,728,0.049,mean,static
47,2.89,0.2,0.1,27,0.002,std,static
48,6.78,0.2,0.1,728,0.049,mean,static
48,2.75,0.2,0.1,27,0.002,std,static
49,6.16,0.2,0.1,728,0.049,mean,static
49,2.58,0.2,0.1,27,0.002,std,static
50,5.47,0.2,0.1,728,0.049,mean,static
50,2.38,0.2,0.1,27,0.002,std,static
51,4.91,0.2,0.1,728,0.049,mean,static
51,2.42,0.2,0.1,27,0.002,std,static
52,4.41,0.2,0.1,728,0.049,mean,static
52,2.28,0.2,0.1,27,0.002,std,static
0,5.0,0.2,0.1,728,0.09,mean,dynamic
0,0.0,0.2,0.1,35,0.028,std,dynamic
1,12.0,0.2,0.1,728,0.09,mean,dynamic
1,3.11,0.2,0.1,35,0.028,std,dynamic
2,38.47,0.2,0.1,728,0.09,mean,dynamic
2,15.42,0.2,0.1,35,0.028,std,dynamic
3,121.59,0.2,0.1,728,0.09,mean,dynamic
3,51.35,0.2,0.1,35,0.028,std,dynamic
4,294.5,0.2,0.1,728,0.09,mean,dynamic
4,93.49,0.2,0.1,35,0.028,std,dynamic
5,458.03,0.2,0.1,728,0.09,mean,dynamic
5,86.32,0.2,0.1,35,0.028,std,dynamic
6,529.62,0.2,0.1,728,0.09,mean,dynamic
6,55.37,0.2,0.1,35,0.028,std,dynamic
7,532.38,0.2,0.1,728,0.09,mean,dynamic
7,29.89,0.2,0.1,35,0.028,std,dynamic
8,505.25,0.2,0.1,728,0.09,mean,dynamic
8,20.49,0.2,0.1,35,0.028,std,dynamic
9,467.75,0.2,0.1,728,0.09,mean,dynamic
9,15.27,0.2,0.1,35,0.028,std,dynamic
10,428.5,0.2,0.1,728,0.09,mean,dynamic
10,15.74,0.2,0.1,35,0.028,std,dynamic
11,388.28,0.2,0.1,728,0.09,mean,dynamic
11,14.87,0.2,0.1,35,0.028,std,dynamic
12,351.44,0.2,0.1,728,0.09,mean,dynamic
12,13.76,0.2,0.1,35,0.028,std,dynamic
13,318.22,0.2,0.1,728,0.09,mean,dynamic
13,12.56,0.2,0.1,35,0.028,std,dynamic
14,286.5,0.2,0.1,728,0.09,mean,dynamic
14,13.68,0.2,0.1,35,0.028,std,dynamic
15,257.06,0.2,0.1,728,0.09,mean,dynamic
15,12.27,0.2,0.1,35,0.028,std,dynamic
16,229.75,0.2,0.1,728,0.09,mean,dynamic
16,10.71,0.2,0.1,35,0.028,std,dynamic
17,205.44,0.2,0.1,728,0.09,mean,dynamic
17,11.06,0.2,0.1,35,0.028,std,dynamic
18,184.75,0.2,0.1,728,0.09,mean,dynamic
18,12.07,0.2,0.1,35,0.028,std,dynamic
19,166.22,0.2,0.1,728,0.09,mean,dynamic
19,12.07,0.2,0.1,35,0.028,std,dynamic
20,149.28,0.2,0.1,728,0.09,mean,dynamic
20,11.11,0.2,0.1,35,0.028,std,dynamic
21,135.19,0.2,0.1,728,0.09,mean,dynamic
21,10.54,0.2,0.1,35,0.028,std,dynamic
22,122.12,0.2,0.1,728,0.09,mean,dynamic
22,11.49,0.2,0.1,35,0.028,std,dynamic
23,110.12,0.2,0.1,728,0.09,mean,dynamic
23,10.99,0.2,0.1,35,0.028,std,dynamic
24,99.12,0.2,0.1,728,0.09,mean,dynamic
24,9.9,0.2,0.1,35,0.028,std,dynamic
25,89.09,0.2,0.1,728,0.09,mean,dynamic
25,9.81,0.2,0.1,35,0.028,std,dynamic
26,80.12,0.2,0.1,728,0.09,mean,dynamic
26,9.09,0.2,0.1,35,0.028,std,dynamic
27,71.53,0.2,0.1,728,0.09,mean,dynamic
27,7.75,0.2,0.1,35,0.028,std,dynamic
28,64.81,0.2,0.1,728,0.09,mean,dynamic
28,7.07,0.2,0.1,35,0.028,std,dynamic
29,58.34,0.2,0.1,728,0.09,mean,dynamic
29,7.05,0.2,0.1,35,0.028,std,dynamic
30,52.5,0.2,0.1,728,0.09,mean,dynamic
30,6.18,0.2,0.1,35,0.028,std,dynamic
31,47.56,0.2,0.1,728,0.09,mean,dynamic
31,6.3,0.2,0.1,35,0.028,std,dynamic
32,42.94,0.2,0.1,728,0.09,mean,dynamic
32,6.23,0.2,0.1,35,0.028,std,dynamic
33,39.12,0.2,0.1,728,0.09,mean,dynamic
33,5.92,0.2,0.1,35,0.028,std,dynamic
34,35.47,0.2,0.1,728,0.09,mean,dynamic
34,5.72,0.2,0.1,35,0.028,std,dynamic
35,32.38,0.2,0.1,728,0.09,mean,dynamic
35,4.81,0.2,0.1,35,0.028,std,dynamic
36,29.38,0.2,0.1,728,0.09,mean,dynamic
36,4.11,0.2,0.1,35,0.028,std,dynamic
37,26.47,0.2,0.1,728,0.09,mean,dynamic
37,3.99,0.2,0.1,35,0.028,std,dynamic
38,23.66,0.2,0.1,728,0.09,mean,dynamic
38,3.42,0.2,0.1,35,0.028,std,dynamic
39,21.25,0.2,0.1,728,0.09,mean,dynamic
39,3.28,0.2,0.1,35,0.028,std,dynamic
40,18.84,0.2,0.1,728,0.09,mean,dynamic
40,3.18,0.2,0.1,35,0.028,std,dynamic
41,16.78,0.2,0.1,728,0.09,mean,dynamic
41,2.96,0.2,0.1,35,0.028,std,dynamic
42,14.94,0.2,0.1,728,0.09,mean,dynamic
42,3.44,0.2,0.1,35,0.028,std,dynamic
43,13.38,0.2,0.1,728,0.09,mean,dynamic
43,3.3,0.2,0.1,35,0.028,std,dynamic
44,12.03,0.2,0.1,728,0.09,mean,dynamic
44,3.13,0.2,0.1,35,0.028,std,dynamic
45,11.16,0.2,0.1,728,0.09,mean,dynamic
45,3.08,0.2,0.1,35,0.028,std,dynamic
46,10.38,0.2,0.1,728,0.09,mean,dynamic
46,2.89,0.2,0.1,35,0.028,std,dynamic
47,9.34,0.2,0.1,728,0.09,mean,dynamic
47,2.65,0.2,0.1,35,0.028,std,dynamic
48,8.72,0.2,0.1,728,0.09,mean,dynamic
48,2.45,0.2,0.1,35,0.028,std,dynamic
49,7.81,0.2,0.1,728,0.09,mean,dynamic
49,2.2,0.2,0.1,35,0.028,std,dynamic
50,7.25,0.2,0.1,728,0.09,mean,dynamic
50,2.24,0.2,0.1,35,0.028,std,dynamic
51,6.47,0.2,0.1,728,0.09,mean,dynamic
51,2.11,0.2,0.1,35,0.028,std,dynamic
52,5.81,0.2,0.1,728,0.09,mean,dynamic
52,2.11,0.2,0.1,35,0.028,std,dynamic
53,5.12,0.2,0.1,728,0.09,mean,dynamic
53,1.93,0.2,0.1,35,0.028,std,dynamic
54,4.84,0.2,0.1,728,0.09,mean,dynamic
54,1.95,0.2,0.1,35,0.028,std,dynamic
55,4.19,0.2,0.1,728,0.09,mean,dynamic
55,1.91,0.2,0.1,35,0.028,std,dynamic
0,5.0,0.3,0.1,727,0.049,mean,static
0,0.0,0.3,0.1,29,0.002,std,static
1,11.59,0.3,0.1,727,0.049,mean,static
1,2.1,0.3,0.1,29,0.002,std,static
2,45.16,0.3,0.1,727,0.049,mean,static
2,14.44,0.3,0.1,29,0.002,std,static
3,140.69,0.3,0.1,727,0.049,mean,static
3,46.58,0.3,0.1,29,0.002,std,static
4,301.09,0.3,0.1,727,0.049,mean,static
4,73.17,0.3,0.1,29,0.002,std,static
5,464.53,0.3,0.1,727,0.049,mean,static
5,66.67,0.3,0.1,29,0.002,std,static
6,541.0,0.3,0.1,727,0.049,mean,static
6,43.8,0.3,0.1,29,0.002,std,static
7,537.69,0.3,0.1,727,0.049,mean,static
7,26.02,0.3,0.1,29,0.002,std,static
8,497.28,0.3,0.1,727,0.049,mean,static
8,17.36,0.3,0.1,29,0.002,std,static
9,449.72,0.3,0.1,727,0.049,mean,static
9,15.17,0.3,0.1,29,0.002,std,static
10,405.59,0.3,0.1,727,0.049,mean,static
10,14.12,0.3,0.1,29,0.002,std,static
11,367.0,0.3,0.1,727,0.049,mean,static
11,12.57,0.3,0.1,29,0.002,std,static
12,328.5,0.3,0.1,727,0.049,mean,static
12,11.98,0.3,0.1,29,0.002,std,static
13,294.5,0.3,0.1,727,0.049,mean,static
13,10.81,0.3,0.1,29,0.002,std,static
14,261.56,0.3,0.1,727,0.049,mean,static
14,10.05,0.3,0.1,29,0.002,std,static
15,234.09,0.3,0.1,727,0.049,mean,static
15,9.72,0.3,0.1,29,0.002,std,static
16,210.16,0.3,0.1,727,0.049,mean,static
16,8.84,0.3,0.1,29,0.002,std,static
17,189.12,0.3,0.1,727,0.049,mean,static
17,9.96,0.3,0.1,29,0.002,std,static
18,169.66,0.3,0.1,727,0.049,mean,static
18,8.98,0.3,0.1,29,0.002,std,static
19,152.34,0.3,0.1,727,0.049,mean,static
19,10.05,0.3,0.1,29,0.002,std,static
20,137.69,0.3,0.1,727,0.049,mean,static
20,9.48,0.3,0.1,29,0.002,std,static
21,123.66,0.3,0.1,727,0.049,mean,static
21,9.01,0.3,0.1,29,0.002,std,static
22,111.94,0.3,0.1,727,0.049,mean,static
22,8.95,0.3,0.1,29,0.002,std,static
23,100.84,0.3,0.1,727,0.049,mean,static
23,9.38,0.3,0.1,29,0.002,std,static
24,90.97,0.3,0.1,727,0.049,mean,static
24,8.8,0.3,0.1,29,0.002,std,static
25,82.25,0.3,0.1,727,0.049,mean,static
25,8.66,0.3,0.1,29,0.002,std,static
26,73.47,0.3,0.1,727,0.049,mean,static
26,7.93,0.3,0.1,29,0.002,std,static
27,65.78,0.3,0.1,727,0.049,mean,static
27,7.96,0.3,0.1,29,0.002,std,static
28,59.53,0.3,0.1,727,0.049,mean,static
28,8.25,0.3,0.1,29,0.002,std,static
29,53.22,0.3,0.1,727,0.049,mean,static
29,7.27,0.3,0.1,29,0.002,std,static
30,48.0,0.3,0.1,727,0.049,mean,static
30,7.41,0.3,0.1,29,0.002,std,static
31,43.31,0.3,0.1,727,0.049,mean,static
31,7.32,0.3,0.1,29,0.002,std,static
32,37.91,0.3,0.1,727,0.049,mean,static
32,7.01,0.3,0.1,29,0.002,std,static
33,33.91,0.3,0.1,727,0.049,mean,static
33,5.77,0.3,0.1,29,0.002,std,static
34,30.94,0.3,0.1,727,0.049,mean,static
34,5.18,0.3,0.1,29,0.002,std,static
35,28.22,0.3,0.1,727,0.049,mean,static
35,5.36,0.3,0.1,29,0.002,std,static
36,25.34,0.3,0.1,727,0.049,mean,static
36,5.05,0.3,0.1,29,0.002,std,static
37,22.53,0.3,0.1,727,0.049,mean,static
37,4.74,0.3,0.1,29,0.002,std,static
38,20.22,0.3,0.1,727,0.049,mean,static
38,4.5,0.3,0.1,29,0.002,std,static
39,18.0,0.3,0.1,727,0.049,mean,static
39,3.93,0.3,0.1,29,0.002,std,static
40,16.25,0.3,0.1,727,0.049,mean,static
40,3.57,0.3,0.1,29,0.002,std,static
41,14.66,0.3,0.1,727,0.049,mean,static
41,3.51,0.3,0.1,29,0.002,std,static
42,13.19,0.3,0.1,727,0.049,mean,static
42,3.17,0.3,0.1,29,0.002,std,static
43,11.78,0.3,0.1,727,0.049,mean,static
43,3.09,0.3,0.1,29,0.002,std,static
44,10.84,0.3,0.1,727,0.049,mean,static
44,3.13,0.3,0.1,29,0.002,std,static
45,9.72,0.3,0.1,727,0.049,mean,static
45,2.98,0.3,0.1,29,0.002,std,static
46,8.81,0.3,0.1,727,0.049,mean,static
46,2.81,0.3,0.1,29,0.002,std,static
47,7.94,0.3,0.1,727,0.049,mean,static
47,2.56,0.3,0.1,29,0.002,std,static
